ID,title,year,source,place,place_detail,genre
doc_0155,亚马尔项目首船份额气顺利完成卸货 项目进入投资回收阶段,2018-02-07,21世纪经济报道,东欧,俄罗斯,项目进展
doc_0154,中阿产能合作示范园将获全金融牌照,2018-05-12,中国一带一路网,中东,阿联酋,项目进展
doc_0153,韩国持续推进“新北方政策” 开展多边合作对接“一带一路”,2018-06-29,经济日报,东亚,韩国,政策与规划
doc_0152,"中沙合资炼油厂赢得国际最高奖 已成""一带一路""典范",2018-07-15,参考消息,中东,沙特,项目进展
doc_0151,中俄推进东西天然气管道商谈 俄有望成中国进口气最大供应国,2018-07-24,21世纪经济报道,东欧,俄罗斯,项目进展
doc_0150,“中国制造”成北极新名片 深度参与俄亚马尔项目,2018-09-13,参考消息网,东欧,俄罗斯,项目进展
doc_0149,中俄亚马尔项目第三条生产线年底将投产,2018-10-04,经济日报,东欧,俄罗斯,项目进展
doc_0148,第六届中阿能源合作大会举行 中阿将成立清洁能源培训中心,2018-11-07,人民日报,中东,阿拉伯,项目进展
doc_0147,亚马尔液化天然气项目第三条生产线正式投产,2018-12-12,新华网,东欧,俄罗斯,项目进展
doc_0146,联合国气候大会关注“一带一路”绿色低碳发展,2018-12-14,中国新闻网,联合国,联合国,综述报道
doc_0145,联合国卡托维兹气候变化大会召开 “一带一路”搭建绿色发展合作平台,2018-12-15,人民日报,联合国,联合国,国际交流
doc_0144,艾哈代布项目成“中东合作样本” 为伊拉克增收100亿美,2018-12-28,中国石油报,中东,伊拉克,项目进展
doc_0143,输变电项目助力老挝电网互联互通 居民：“日子过得越来越好”,2019-01-02,人民日报,东南亚,老挝,项目进展
doc_0142,中巴经济走廊将开启多方合作 沙特计划至少投资90亿美元,2019-01-08,21世纪经济报道,中东,沙特,项目进展
doc_0141,马来西亚RAPID项目常压装置点火投产,2019-02-01,人民网,东南亚,马来西亚,项目进展
doc_0140,中企与阿联酋签署全球物探行业三维采集作业涉及金额最大合同,2019-02-02,人民日报,中东,阿联酋,项目进展
doc_0139,双边贸易“创纪录” 中俄官员：两国经贸关系将迎来新发展,2019-02-19,光明日报,东欧,俄罗斯,国际交流
doc_0138,中阿合作论坛第八届企业家大会在突尼斯举行,2019-04-03,新华网,非洲,突尼斯,国际交流
doc_0137,“一带一路”重点能源合作项目 让埃塞人用上稳定绿色的电能,2019-04-18,央视网,非洲,埃塞俄比亚,项目进展
doc_0136,老挝万象500/230千伏环网项目举行奠基开工仪式,2019-04-22,中国一带一路网,东南亚,老挝,项目进展
doc_0135,中巴经济走廊卡西姆电站累计发电量突破100亿度,2019-05-09,中国经济网,南亚,巴基斯坦,项目进展
doc_0134,驻非盟使团与非盟委员会联合举办中非“一带一路”合作对话会,2019-06-01,驻非盟使团网站,非盟,非洲,国际交流
doc_0133,“中非‘一带一路’合作对话会”在埃塞俄比亚举行,2019-06-03,光明日报,非洲,非洲,政策与规划
doc_0132,乌克兰尼科波尔光伏电站项目累计发电超过九千万千瓦时,2019-07-03,人民日报,东欧,乌克兰,项目进展
doc_0131,中国石油阿曼项目延期合同签署,2019-08-13,中国一带一路网,中东,阿曼,项目进展
doc_0130,中企首次在法国发布可持续发展报告,2019-09-05,新华社,欧洲,法国,项目进展
doc_0129,中企承建孟加拉国项目管道陆海定向钻穿越告捷,2019-12-05,新华网,南亚,孟加拉,项目进展
doc_0128,中企承建越南电厂在当地赢得赞誉 “‘中国制造’值得我们信赖”,2019-12-06,人民日报,东南亚,越南,项目进展
doc_0127,越南永新电厂办开放日 中企抱团“出海”获好评,2019-12-11,人民网,东南亚,越南,项目进展
doc_0126,“一带一路”倡议下能源合作助力非洲可持续发展,2019-12-15,新华社,非洲,非洲,国际交流
doc_0125,中企与沙特电力公司签署11亿美元智能电表项目合同,2019-12-23,中国一带一路网,中东,沙特,项目进展
doc_0124,中哈改造奇姆肯特炼油厂 助力高品质燃油自给自足,2019-12-26,人民网,中亚,哈萨克斯坦,项目进展
doc_0123,中企经营的法国沙尔蒙风场迎来公众开放日,2019-12-27,人民网,欧洲,法国,项目进展
doc_0122,老挝南欧江梯级水电站二期首台机组投产发电 系中企首个海外全流域水电开发项目,2019-12-27,人民网,东南亚,老挝,项目进展
doc_0121,中国国家电网公司承建的缅甸北克钦邦与230千伏主干网连通工程竣工,2020-01-14,人民网,东南亚,缅甸,项目进展
doc_0120,西西伯利亚石化项目顺利试运行 中俄石化合作有新进展,2020-04-01,人民日报,东欧,俄罗斯,项目进展
doc_0119,中企助力哈萨克斯坦风电项目复产 预计12月底前并网,2020-05-05,新华网,中亚,哈萨克斯坦,项目进展
doc_0118,中缅原油管道累计向中国输油超过3000万吨,2020-06-08,光明日报,东南亚,缅甸,项目进展
doc_0117,俄罗斯驻华大使：俄中经贸合作展现出潜力,2020-06-24,人民网,东欧,俄罗斯,综述报道
doc_0116,中国产35万吨世界级“海上油气工厂”正式在巴西投产,2020-06-29,新华丝路,南美,巴西,项目进展
doc_0115,世界级“海上油气工厂”正式投产 成功打造中国制造响亮品牌,2020-07-06,新华丝路,南美,巴西,项目进展
doc_0114,中泰能源合作促进区域互联互通,2020-07-18,人民网,东南亚,泰国,项目进展
doc_0113,中欧务实合作拉动世界经济复苏,2020-08-17,人民日报,中欧,欧盟,综述报道
doc_0112,中非光伏合作惠及更多非洲民众,2020-08-24,人民日报,非洲,非洲,项目进展
doc_0111,非洲专家：促进非洲区域平衡发展，“一带一路”潜力巨大,2020-09-23,中国一带一路网,非洲,加纳,综述报道
doc_0110,中企高效实施沙特智能电表项目,2020-09-28,经济日报,中东,沙特,项目进展
doc_0109,中广核巴西公司举行 风电扩建项目“云签约”仪式,2020-10-09,经济参考报,南美,巴西,项目进展
doc_0108,第九届中俄北极论坛探讨北极多领域合作议题,2020-12-05,人民网,东欧,俄罗斯,国际交流
doc_0107,基建等领域合作逆势上升 中国与海湾阿拉伯国家扎实推进共建“一带一路”,2020-12-11,人民日报,中东,沙特,综述报道
doc_0106,哥斯达黎加积极发展可再生能源,2021-01-04,人民网,南美,哥斯达黎加,综述报道
doc_0105,非洲国家积极推动能源绿色转型,2021-01-12,人民日报,南非,南非,综述报道
doc_0104,海合会官员：2021年，海合会与中国合作有七大支柱,2021-02-01,中国一带一路网,中东,阿拉伯,综述报道
doc_0103,中俄跨境500千伏输变电工程年检开始,2021-05-07,龙视新闻联播,东欧,俄罗斯,项目进展
doc_0102,中俄深化核领域合作 助力可持续发展,2021-06-01,人民日报,东欧,俄罗斯,项目进展
doc_0101,阿萨德：投身中巴经济走廊建设的“好翻译”,2021-06-03,中国经济导报,南亚,巴基斯坦,项目进展
doc_0100,“大胡子”费萨尔的中巴经济走廊“情结”,2021-06-03,中国经济导报,南亚,巴基斯坦,项目进展
doc_0099,阿瑟夫：中巴友谊比山高、比海深、比蜜甜,2021-06-03,中国经济导报,南亚,巴基斯坦,项目进展
doc_0098,中阿共建“一带一路” 打造新时代中阿命运共同体,2021-06-05,人民日报,中东,阿拉伯,国际交流
doc_0097,中国—中东欧国家加强清洁能源合作,2021-06-07,人民网,东欧,匈牙利,项目进展
doc_0096,“一带一路”倡议在沿线主要区域的进展·中亚篇,2021-06-19,世界知识,中亚,中亚,政策与规划
doc_0095,中企参与开发的伊拉克米桑油田首个标准化示范脱气站投产,2021-06-23,人民网,中东,伊位克,项目进展
doc_0094,伊拉克、埃及、约旦讨论抗疫和能源合作等问题,2021-06-28,新华网,中东,中东,国际交流
doc_0093,巴基斯坦默拉直流输电项目启动送电,2021-07-02,中国一带一路网,南亚,巴基斯坦,项目进展
doc_0092,前4个月双边贸易总额407.1亿美元 中国与中东欧国家合作提质升级,2021-07-08,人民日报,东欧,东欧,国际交流
doc_0091,中欧合作为应对气候变化注入更多正能量,2021-08-03,新华网,欧洲,欧盟,国际交流
doc_0090,一个水电项目承载的阿根廷能源梦,2021-09-27,新华网,南美,阿根廷,项目进展
doc_0089,巴基斯坦默拉直流项目投入商业运营揭牌仪式举行 深化中巴能源电力合作,2021-10-09,国家电网,南亚,巴基斯坦,项目进展
doc_0088,中广核巴西公司风电绿地项目践行中巴绿色务实合作理念,2021-11-26,中国一带一路网,南美,巴西,项目进展
doc_0087,中非清洁能源合作助推非洲绿色转型,2021-11-29,新华社,非洲,非洲,项目进展
doc_0086,国外媒体及学者认为“一带一路”是正确之路、未来之路,2021-11-30,人民网,none,,综述报道
doc_0085,中俄总理第二十六次定期会晤联合公报（全文）,2021-12-01,新华社,,俄罗斯,政策与规划
doc_0084,俄罗斯寒冬里“一带一路”项目热火朝天,2021-12-09,新华社,东欧,俄罗斯,项目进展
doc_0083,共建“一带一路”——为中阿合作注入新动力,2021-12-14,人民日报,中东,阿联酋,综述报道
doc_0082,元首外交引领中俄关系走深走实,2021-12-15,新华社,东欧,俄罗斯,国际交流
doc_0081,中俄前11个月贸易额超过去年全年,2021-12-16,新华社,东欧,俄罗斯,综述报道
doc_0080,首届中柬文化交流论坛暨中柬文化交流联盟 成立仪式在京举办,2021-12-22,中国一带一路网,东南亚,柬埔寨,国际交流
doc_0079,央企走出去——注重低碳环保 发展绿色产业,2021-12-22,人民日报,欧洲,英国,项目进展
doc_0078,泰国超级油管项目，“中国制造”,2021-12-27,环球时报,东南亚,泰国,项目进展
doc_0077,让绿色成为共建“一带一路”的底色,2022-01-12,人民日报,中东,阿联酋,项目进展
doc_0076,专家看好中国与海合会合作前景,2022-01-15,新华社,中东,中东,国际交流
doc_0075,超1400亿美元！中俄贸易晒出最佳年度“成绩单”,2022-01-16,新华社,东欧,俄罗斯,综述报道
doc_0074,国际观察｜对俄放狠话 美国频打“乌克兰牌”意欲何为,2022-01-22,新华社,北美,美国,国际交流
doc_0073,凝聚绿色共识 共促绿色发展,2022-02-10,人民日报,非洲,埃及,项目进展
doc_0072,中塞首个可再生能源投资点亮“一带一路”,2022-02-11,中国日报,东欧,塞尔维亚,项目进展
doc_0071,德国学者表示中欧合作将保持良好态势,2022-03-22,新华社,欧洲,德国,国际交流
doc_0070,俄乌冲突持续 欧盟能源出路在何方,2022-03-23,新华社,欧洲,布鲁塞尔,政策与规划
doc_0069,海湾国家冷淡回应欧洲能源外交 对俄制裁或重塑国际能源市场,2022-03-25,新华社,非洲,埃及,政策与规划
doc_0068,老挝稳步扩大电力出口,2022-04-08,人民日报,东南亚,老挝,项目进展
doc_0067,综述：中非清洁能源合作助推非洲绿色发展,2022-04-17,新华社,非洲,内罗毕,项目进展
doc_0066,中国公司参与的意大利首个海上风电项目并网,2022-04-23,新华社,欧洲,意大利,项目进展
doc_0065,中国海油参建巨型盐下超深水油田投产,2022-05-06,人民日报海外版,南美,巴西,项目进展
doc_0064,中非清洁能源合作风头正劲,2022-05-10,人民日报海外版,非洲,南非,项目进展
doc_0063,中企承建的泰国东北部成品油项目顺利竣工,2022-06-06,人民网,东南亚,泰国,项目进展
doc_0062,中巴经济走廊首个水电投资项目全面投入商业运营,2022-06-30,新华社,南亚,巴基斯坦,项目进展
doc_0061,中国进出口银行融资支持的巴基斯坦卡洛特水电站项目全面投入商业运营,2022-07-01,进出口银行公众号,南亚,巴基斯坦,项目进展
doc_0060,中巴经济走廊首个水电投资项目全面投入商运,2022-07-03,人民日报,南亚,巴基斯坦,项目进展
doc_0059,“风电项目带给塔兰托新气象”,2022-07-03,人民日报,欧洲,意大利,项目进展
doc_0058,光伏电站助力阿根廷能源转型,2022-07-09,人民日报,南美,阿根廷,项目进展
doc_0057,工银土耳其获颁《世界金融》两项年度大奖,2022-07-12,中国一带一路网,中东,土耳其,项目进展
doc_0056,携手非洲共同应对气候变化,2022-07-14,人民日报,非洲,非洲,政策与规划
doc_0055,打造互惠互利的能源战略合作——记中国石油深耕中东实践,2022-08-06,中国一带一路网,中东,伊位克,项目进展
doc_0054,中非共建“一带一路”合作取得新进展,2022-08-20,新华社,非洲,非洲,综述报道
doc_0053,国际观察：中非合作为应对全球气候变化树立典范,2022-08-23,人民网,非洲,非洲,国际交流
doc_0052,高质量共建“一带一路”：推动全球可持续发展,2022-09-09,人民日报,东南亚,老挝,项目进展
doc_0051,东盟积极推动电力互联互通,2022-09-13,人民日报,东盟,东盟,项目进展
doc_0050,上合国家经济合作前景广阔,2022-09-19,经济日报,中亚,乌兹别克斯坦,国际交流
doc_0049,中电装备公司签署沙特数字化智能环网柜项目合同,2022-10-04,中国一带一路网,中东,沙特,项目进展
doc_0048,中华人民共和国政府和柬埔寨王国政府联合公报（全文）,2022-11-11,新华社,东盟,柬埔寨,政策与规划
doc_0047,“从风电场到风车磨坊”徒步活动在法国阿萨克市举行,2022-10-05,人民网,欧洲,法国,项目进展
doc_0046,关于加强中国－东盟共同的可持续发展联合声明（全文）,2022-11-12,新华社,东盟,东盟,政策与规划
doc_0045,中国和西班牙业界人士探讨能源转型与未来,2022-10-30,新华社,欧洲,西班牙,国际交流
doc_0044,全球连线 | 丹麦“绿馆”亮相进博会 期待深化中丹清洁能源合作,2022-11-07,新华社,欧洲,哥本哈根,国际交流
doc_0043,中企助力莫桑比克实现液化天然气出口,2022-11-14,新华社,非洲,莫桑比克,项目进展
doc_0042,打造全球发展共同体的中国贡献,2022-11-23,新华社,东南亚,印尼,综述报道
doc_0041,中莫能源合作收获重要成果,2022-12-05,人民日报,非洲,莫桑比克,项目进展
doc_0040,加强战略对接、提升合作水平——共同描绘中沙友好的时代画卷,2022-12-08,人民日报,中东,沙特,国际交流
doc_0039,中阿绿色转型合作方兴未艾,2022-12-08,新华社,中东,阿拉伯,综述报道
doc_0038,中企在哈萨克斯坦举办可再生能源研讨会,2022-12-09,中国一带一路网,中亚,哈萨克斯坦,国际交流
doc_0037,探讨中国—东盟低碳投资合作机会 国际合作迸发新动能,2022-12-09,中国一带一路网,东盟,东盟,国际交流
doc_0036,中华人民共和国和沙特阿拉伯王国联合声明,2022-12-10,新华社,中东,沙特,政策与规划
doc_0035,国家电投在北京、土耳其等多地同时举行云开放日活动,2022-12-09,中国一带一路网,中东,土耳其,国际交流
doc_0034,胡春华会见乌兹别克斯坦总理阿里波夫,2022-12-10,新华社,中亚,乌兹别克斯坦,国际交流
doc_0033,专访：沙特阿美将与中国伙伴共同维护工业供应链安全稳定——访沙特阿美公司董事长鲁梅延,2022-12-10,新华社,中东,沙特,国际交流
doc_0032,胡春华会见阿联酋副总理兼总统办公厅主任曼苏尔,2022-12-12,新华社,中东,阿联酋,国际交流
doc_0031,国际锐评丨“既古老又年轻”的中海关系将焕发更大生机,2022-12-12,央视新闻客户端,中东,沙特,国际交流
doc_0030,伙伴握手的时刻——记习近平主席出席中国－海湾阿拉伯国家合作委员会峰会并对沙特阿拉伯王国进行国事访问,2022-12-13,新华社,中东,沙特,国际交流
doc_0029,战略伙伴关系的基石,2023-01-06,人民日报,中东,土耳其,国际交流
doc_0028,进出口银行融资支持的中石油莫桑比克四区块浮式液化天然气项目正式投产,2023-01-06,进出口银行公众号,非洲,莫桑比克,项目进展
doc_0027,中巴核电合作迈上新台阶,2023-02-06,人民日报,南亚,巴基斯坦,项目进展
doc_0026,中企建设的巴基斯坦塔尔一区块燃煤电站项目投入商运,2023-02-07,新华社,南亚,巴基斯坦,项目进展
doc_0025,示范工程迈入新阶段,2023-02-08,瞭望,南亚,巴基斯坦,项目进展
doc_0024,共建“一带一路”热点观察 | 合作共赢谱新篇——中国与亚欧地区国家推动共建“一带一路”高质量发展,2023-02-17,中国一带一路网,none,亚欧,综述报道
doc_0023,中华人民共和国和俄罗斯联邦关于深化新时代全面战略协作伙伴关系的联合声明,2023-03-22,新华社,东欧,俄罗斯,政策与规划
doc_0022,国际观察：中国为共建绿色一带一路提供强大动能,2023-02-23,人民网,非洲,肯尼亚,综述报道
doc_0021,乌兹别克斯坦总统米尔济约耶夫会见秦刚,2023-04-14,新华社,中亚,乌兹别克斯坦,国际交流
doc_0020,巴西阿苏港携手中企共成长,2023-04-17,新华社,南美,巴西,项目进展
doc_0019,中巴经贸合作蒸蒸日上前景可期,2023-04-17,新华社,南美,巴西,综述报道
doc_0018,特稿：相知相亲逾千年 携手同行启新程——中亚国家期待与中国在合作之路上行稳致远,2023-05-12,新华社,中亚,中亚,国际交流
doc_0017,“一带一路”故事绘 | 中国风电项目点亮哈萨克斯坦小镇生活,2023-05-18,新华社,中亚,哈萨克斯坦,政策与规划
doc_0016,通讯：中国企业助力哈萨克斯坦实现能源转型,2023-05-24,新华社,中亚,哈萨克斯坦,项目进展
doc_0015,“中亚国家同中国关系继续行稳致远”,2023-05-29,人民日报,中亚,乌兹别克斯坦,国际交流
doc_0014,综述：中国和巴西清洁能源合作再创佳绩,2023-06-05,新华社,南美,巴西,项目进展
doc_0013,镜观·领航｜全球发展倡议促进世界共同发展,2023-06-25,新华社,联合国,联合国,国际交流
doc_0012,“‘一带一路’为共建国家发展繁荣注入动力”,2023-06-26,人民日报,中东,伊位克,项目进展
doc_0011,工行新加坡分行成功办理中国与海合会国家首笔天然气人民币支付结算,2023-06-27,中国一带一路网,东南亚,新加坡,项目进展
doc_0010,巴西里约州议员到访中海油巴西公司,2023-06-27,中国一带一路网,南美,巴西,国际交流
doc_0009,中哈能源合作让更多民众得到实惠,2023-08-11,人民日报,中亚,哈萨克斯坦,项目进展
doc_0008,通讯：追风输能，国家能源集团10年打造中非能源合作典范,2023-08-22,新华网,南非,约翰内斯,项目进展
doc_0007,“一带一路”能源合作结出共赢之果,2023-10-08,新华社,综合,综合,综述报道
doc_0006,清洁能源合作助力打造绿色丝绸之路,2023-10-09,人民日报,综合,综合,项目进展
doc_0005,启动建设十周年 中巴经济走廊取得丰硕成果,2023-10-17,新华丝路网,南亚,巴基斯坦,综述报道
doc_0004,共绘未来：“绿色丝路”让世界共享中国绿色发展成果,2023-10-21,新华社,中亚,乌兹别克斯坦,项目进展
doc_0003,国际观察｜标准之墙 规则之链 谎言之刃——起底美西方国家“低端锁定”全球南方,2024-09-24,新华社,中国,北京,综述报道
doc_0002,综述丨中国与阿塞拜疆绿色合作前景广阔,2024-11-10,新华社,中亚,巴库,项目进展
doc_0001,国际观察丨乱局交织冲击中东经济 多国对华合作稳定发展,2024-12-21,新华社,中东,伊斯坦布尔,综述报道
